order_id,customer_id,order_date,revenue,units,region,product
ORD-000057,CUS-1002,01/02/2024,369.02,36,South,Gadget C
ORD-000058,CUS-1001,2024-01-01,688.64,19,North,Widget A
ORD-000059,CUS-1001,2024-03-15,1173.13,2,West,Widget A
ORD-000060,CUS-1002,2024-03-15,100.31,15,West,Widget A
ORD-000061,CUS-1002,2024-03-15,629.71,34,West,Widget B
ORD-000062,CUS-1002,2024-01-01,186.16,39,East,Widget B
ORD-000063,CUS-1003,2024-01-01,336.26,21,West,Widget A
ORD-000064,CUS-1002,2024-01-01,-205.65,44,North,Widget B
ORD-000065,CUS-1002,2024-06-30,1388.71,39,East,Widget A
ORD-000066,CUS-1002,2024-01-01,542.18,5,East,Widget A
ORD-000067,CUS-1001,01/02/2024,49.96,17,  Central  ,Widget A
ORD-000068,CUS-1001,2024-03-15,804.11,26,South,Widget B
ORD-000069,CUS-1002,2024-01-01,449.83,1,South,Gadget C
ORD-000070,CUS-1001,2024-01-01,1558.78,14,North,Widget A
ORD-000071,CUS-1001,2024-01-01,1645.71,38,  Central  ,Widget B
ORD-000072,CUS-1003,01/02/2024,1345.23,42,South,Gadget C
ORD-000073,CUS-1001,2024-06-30,1229.86,7,North,Widget B
ORD-000074,CUS-1001,2024-01-01,1463.94,30,West,Widget A
ORD-000075,CUS-1001,2024-06-30,758.22,24,  Central  ,Widget A
ORD-000076,CUS-1001,2024-01-01,1305.78,42,East,Widget A
ORD-000077,CUS-1002,2024-01-01,845.26,41,South,Gadget C
ORD-000078,CUS-1002,2024-06-30,865.36,47,South,nan
ORD-000079,CUS-1003,not-a-date,1579.58,46,North,Widget A
ORD-000080,CUS-1002,2024-01-01,1584.24,37,North,Widget B
ORD-000081,CUS-1001,01/02/2024,806.89,13,South,Widget A
ORD-000082,CUS-1003,not-a-date,1874.93,13,West,Widget A
ORD-000083,CUS-1001,2024-03-15,1087.67,42,North,Widget A
ORD-000084,CUS-1001,01/02/2024,979.47,35,East,Widget A
ORD-000085,CUS-1001,2024-01-01,1008.08,39,South,Widget B
ORD-000086,CUS-1002,2024-01-01,1560.94,14,North,Widget A
ORD-000087,CUS-1002,01/02/2024,1935.41,46,South,Widget B
ORD-000088,CUS-1001,01/02/2024,1383.21,9,North,nan
ORD-000089,CUS-1002,2024-01-01,689.17,40,North,Gadget C
ORD-000090,CUS-1001,2024-01-01,1038.44,17,South,Widget A
ORD-000091,CUS-1002,2024-01-01,621.33,5,North,Widget A
ORD-000092,CUS-1002,2024-01-01,1310.82,41,South,Gadget C
ORD-000093,CUS-1001,2024-01-01,1998.45,47,North,nan
ORD-000094,CUS-1001,2024-01-01,1731.23,48,North,Widget B
ORD-000095,CUS-1002,2024-01-01,950.76,2,West,Widget A
ORD-000096,CUS-1001,not-a-date,690.95,23,West,Widget A
ORD-000097,CUS-1001,01/02/2024,910.94,17,South,Widget A
ORD-000098,CUS-1001,2024-01-01,639.32,17,  Central  ,Widget A
ORD-000099,nan,2024-01-01,1983.36,20,South,Widget A
ORD-000100,nan,2024-01-01,411.8,1,West,Widget B
ORD-000101,CUS-1002,01/02/2024,1621.42,24,South,Widget B
ORD-000102,CUS-1001,01/02/2024,834.55,4,South,Widget B
ORD-000103,nan,01/02/2024,1306.84,12,South,Gadget C
ORD-000104,CUS-1003,01/02/2024,1846.43,36,North,Gadget C
ORD-000105,CUS-1002,2024-01-01,1188.25,7,East,Widget A
ORD-000106,CUS-1002,2024-01-01,1237.49,34,North,Gadget C
ORD-000107,CUS-1001,2024-01-01,-366.15,42,  Central  ,Widget A
ORD-000108,CUS-1001,2024-01-01,266.36,48,South,Widget A
ORD-000109,nan,2024-01-01,1085.63,32,South,Widget A
ORD-000110,CUS-1002,2024-03-15,747.58,44,South,Gadget C
ORD-000111,CUS-1001,2024-01-01,1222.18,24,  Central  ,Widget A
ORD-000112,CUS-1001,01/02/2024,774.65,45,North,Widget A
ORD-000113,CUS-1002,2024-01-01,358.17,38,South,Gadget C
ORD-000114,CUS-1001,2024-01-01,1595.55,45,East,Gadget C
ORD-000115,CUS-1003,2024-03-15,1691.83,45,South,Gadget C
ORD-000116,CUS-1003,2024-01-01,1936.38,34,East,Widget A
ORD-000117,CUS-1002,2024-01-01,409.44,11,North,nan
ORD-000118,CUS-1002,2024-01-01,629.82,3,  Central  ,Widget A
ORD-000119,CUS-1002,2024-03-15,568.78,16,West,Widget A
ORD-000120,CUS-1002,2024-01-01,1860.92,15,North,Widget A
ORD-000121,CUS-1002,2024-06-30,1198.84,46,West,Widget A
ORD-000122,CUS-1001,2024-06-30,1845.64,2,North,Widget B
ORD-000123,CUS-1001,2024-03-15,1781.76,27,  Central  ,Widget B
ORD-000124,CUS-1001,2024-01-01,498.11,49,North,Widget B
ORD-000125,CUS-1002,01/02/2024,861.37,14,South,Widget B
ORD-000126,CUS-1001,2024-01-01,833.11,29,West,Widget B
ORD-000127,CUS-1001,not-a-date,-330.86,8,North,Gadget C
ORD-000128,CUS-1001,01/02/2024,1995.42,21,  Central  ,Widget A
ORD-000129,CUS-1002,2024-01-01,-190.48,49,East,Widget B
ORD-000130,CUS-1001,2024-01-01,1547.15,33,South,Gadget C
ORD-000131,nan,2024-03-15,462.97,27,North,Widget A
ORD-000132,CUS-1002,not-a-date,1481.38,48,East,Widget A
ORD-000133,CUS-1001,01/02/2024,413.4,43,East,Widget A
ORD-000134,CUS-1002,2024-01-01,1058.9,14,South,Widget B
ORD-000135,CUS-1001,2024-03-15,1338.87,32,South,Widget A
ORD-000136,nan,2024-03-15,869.44,32,East,Widget A
ORD-000137,CUS-1002,2024-03-15,1932.66,22,South,Widget A
ORD-000138,CUS-1003,2024-01-01,1414.04,9,East,Widget A
ORD-000139,CUS-1001,01/02/2024,323.08,43,South,Gadget C
ORD-000140,CUS-1002,not-a-date,750.56,8,  Central  ,Widget B
ORD-000141,CUS-1002,2024-01-01,634.83,18,East,Gadget C
ORD-000142,nan,2024-01-01,598.05,13,North,Widget A
ORD-000143,CUS-1002,2024-01-01,431.39,38,  Central  ,Widget B
ORD-000144,CUS-1002,2024-01-01,379.58,5,  Central  ,Widget B
ORD-000145,CUS-1001,2024-03-15,1741.62,23,  Central  ,Widget A
ORD-000146,CUS-1001,2024-01-01,1978.78,42,South,Widget A
ORD-000147,CUS-1002,01/02/2024,328.46,44,South,Widget A
ORD-000148,CUS-1002,2024-01-01,1584.6,11,North,Widget A
ORD-000149,CUS-1001,not-a-date,462.82,25,West,Widget B
ORD-000150,CUS-1003,2024-03-15,1048.12,24,West,Gadget C
ORD-000151,nan,01/02/2024,402.3,16,South,Widget A
ORD-000152,CUS-1001,2024-03-15,549.51,40,North,Widget A
ORD-000153,CUS-1002,2024-01-01,827.28,36,West,Widget A
ORD-000154,CUS-1001,2024-03-15,1413.04,5,South,Widget B
ORD-000155,CUS-1002,2024-03-15,953.32,43,East,Widget A
ORD-000156,CUS-1001,2024-01-01,1622.01,18,North,Gadget C
ORD-000157,CUS-1002,2024-06-30,202.22,42,North,Gadget C
ORD-000158,CUS-1002,2024-01-01,1147.98,38,South,Gadget C
ORD-000159,CUS-1003,01/02/2024,222.35,24,South,Widget B
ORD-000160,CUS-1001,2024-01-01,244.43,34,North,Gadget C
ORD-000161,nan,2024-03-15,624.72,22,South,Gadget C
ORD-000162,CUS-1001,2024-01-01,218.9,39,North,Widget A
ORD-000163,CUS-1001,2024-01-01,1553.16,8,  Central  ,Widget B
ORD-000164,CUS-1002,2024-01-01,1019.71,30,East,Widget B
ORD-000165,CUS-1001,2024-06-30,1292.67,2,North,Widget B
ORD-000166,CUS-1003,2024-01-01,121.96,36,North,Widget A
ORD-000167,CUS-1003,01/02/2024,457.36,46,South,Widget A
ORD-000168,CUS-1001,01/02/2024,1051.35,38,South,Gadget C
ORD-000169,nan,2024-03-15,173.2,36,East,Widget A
ORD-000170,CUS-1001,2024-01-01,329.56,41,West,Widget A
ORD-000171,CUS-1002,01/02/2024,53.54,29,East,Gadget C
ORD-000172,CUS-1001,2024-06-30,1823.86,31,South,Gadget C
ORD-000173,nan,2024-01-01,868.17,29,North,Gadget C
ORD-000174,CUS-1001,2024-01-01,99.59,24,North,nan
ORD-000175,CUS-1001,not-a-date,926.38,2,North,Widget A
ORD-000176,CUS-1002,2024-01-01,1776.22,4,South,Widget B
ORD-000177,nan,2024-01-01,388.0,23,North,Widget A
ORD-000178,nan,2024-01-01,483.35,14,South,Widget B
ORD-000179,CUS-1002,2024-03-15,1964.64,46,North,Widget B
ORD-000180,nan,2024-06-30,1709.28,49,West,nan
ORD-000181,nan,01/02/2024,1101.57,23,North,nan
ORD-000182,CUS-1002,01/02/2024,380.16,35,East,Widget B
ORD-000183,CUS-1001,2024-01-01,446.85,29,West,Widget A
ORD-000184,CUS-1003,2024-01-01,1724.3,13,West,Widget A
ORD-000185,CUS-1002,2024-01-01,1354.31,19,West,Widget B
ORD-000186,CUS-1001,2024-01-01,708.38,19,East,Widget A
ORD-000187,CUS-1001,2024-01-01,61.68,6,North,Widget A
ORD-000188,CUS-1002,01/02/2024,280.68,1,South,Widget A
ORD-000189,CUS-1001,2024-01-01,1461.17,16,South,Widget A
ORD-000190,nan,2024-01-01,1301.01,45,East,nan
ORD-000191,CUS-1001,2024-01-01,723.98,5,South,Widget A
ORD-000192,CUS-1001,2024-01-01,1188.0,26,North,Widget B
ORD-000193,CUS-1003,2024-01-01,1512.69,29,North,Widget B
ORD-000194,CUS-1001,2024-01-01,-491.21,33,South,Widget B
ORD-000195,CUS-1001,2024-01-01,486.63,49,West,Gadget C
ORD-000196,CUS-1002,01/02/2024,1903.49,20,West,Gadget C
ORD-000197,CUS-1003,2024-03-15,57.02,18,South,Widget A
ORD-000198,CUS-1001,not-a-date,1116.99,25,  Central  ,Widget A
ORD-000199,CUS-1001,2024-03-15,454.39,43,East,Widget A
ORD-000200,CUS-1003,01/02/2024,-396.52,29,West,Gadget C
ORD-000201,nan,2024-06-30,1127.99,3,West,Widget A
ORD-000202,CUS-1002,01/02/2024,399.45,22,East,Gadget C
ORD-000203,CUS-1001,01/02/2024,1016.72,25,  Central  ,Gadget C
ORD-000204,CUS-1001,2024-01-01,1044.28,44,South,Gadget C
ORD-000205,CUS-1001,2024-01-01,846.4,33,West,Widget B
ORD-000206,CUS-1001,2024-01-01,93.92,34,North,Widget B
ORD-000207,CUS-1002,2024-01-01,421.49,16,  Central  ,Widget B
ORD-000208,CUS-1001,2024-03-15,1937.94,36,West,Widget A
ORD-000209,CUS-1002,2024-01-01,385.1,5,South,Widget A
ORD-000210,CUS-1002,01/02/2024,922.94,10,East,Gadget C
ORD-000211,CUS-1002,not-a-date,-262.63,11,North,Widget B
ORD-000212,CUS-1001,2024-01-01,1516.13,23,East,Gadget C
ORD-000213,CUS-1003,2024-01-01,1160.4,4,West,Widget A
ORD-000214,CUS-1002,2024-01-01,-216.11,26,South,Widget A
ORD-000215,CUS-1002,2024-01-01,1277.58,44,West,Widget B
ORD-000216,CUS-1001,2024-06-30,1012.36,20,West,Widget A
ORD-000217,CUS-1001,01/02/2024,1921.64,1,  Central  ,Widget B
ORD-000218,nan,2024-03-15,1409.33,14,  Central  ,Widget A
ORD-000219,CUS-1001,01/02/2024,1380.76,4,North,Widget B
ORD-000220,CUS-1001,2024-03-15,1384.06,32,South,Widget A
ORD-000221,CUS-1002,2024-03-15,938.92,39,North,Widget A
ORD-000222,CUS-1002,2024-01-01,1288.95,15,South,Widget B
ORD-000223,nan,2024-01-01,1212.96,15,North,Widget B
ORD-000224,CUS-1001,2024-01-01,1777.7,16,South,nan
ORD-000225,nan,01/02/2024,1957.91,18,West,Widget B
ORD-000226,CUS-1001,not-a-date,-441.53,35,West,Widget B
ORD-000227,CUS-1002,01/02/2024,1205.64,16,East,Widget B
ORD-000228,CUS-1002,01/02/2024,587.63,19,North,Widget B
ORD-000229,CUS-1001,2024-06-30,1692.41,44,North,nan
ORD-000230,CUS-1001,2024-01-01,1424.25,38,North,Widget A
ORD-000231,CUS-1001,2024-01-01,1848.73,46,North,Widget B
ORD-000232,nan,2024-06-30,1213.96,18,West,Widget A
ORD-000233,CUS-1002,2024-06-30,1420.22,46,  Central  ,Widget A
ORD-000234,nan,01/02/2024,199.34,15,West,Widget B
ORD-000235,CUS-1003,2024-01-01,1217.39,16,  Central  ,Widget B
ORD-000236,CUS-1002,2024-06-30,759.8,47,North,Gadget C
ORD-000237,CUS-1003,2024-03-15,1021.1,10,South,Widget A
ORD-000238,CUS-1001,01/02/2024,659.88,41,North,Widget A
ORD-000239,CUS-1001,2024-01-01,581.62,41,North,Widget B
ORD-000240,CUS-1003,01/02/2024,1643.23,46,North,Widget B
ORD-000241,CUS-1003,2024-03-15,1119.67,42,East,Widget A
ORD-000242,CUS-1001,not-a-date,513.89,41,South,Widget B
ORD-000243,CUS-1002,01/02/2024,1535.76,18,  Central  ,Widget B
ORD-000244,CUS-1002,01/02/2024,158.86,28,North,Widget A
ORD-000245,CUS-1003,01/02/2024,593.37,29,East,Widget B
ORD-000246,CUS-1002,01/02/2024,679.25,15,East,Widget B
ORD-000247,CUS-1001,2024-01-01,363.4,20,West,Widget A
ORD-000248,CUS-1001,2024-01-01,1686.95,42,South,Widget B
ORD-000249,CUS-1002,2024-01-01,1351.06,1,North,Widget A
ORD-000250,CUS-1002,2024-03-15,1343.91,4,South,Gadget C
ORD-000251,CUS-1003,2024-01-01,1189.49,21,North,Widget B
ORD-000252,CUS-1002,2024-01-01,762.8,38,South,Widget A
ORD-000253,CUS-1001,2024-06-30,1321.43,44,North,Widget B
ORD-000254,CUS-1001,2024-03-15,1475.21,34,East,Widget A
ORD-000255,CUS-1002,2024-01-01,-143.06,43,  Central  ,nan
ORD-000256,CUS-1003,2024-01-01,946.74,8,North,Widget A
ORD-000257,CUS-1001,2024-03-15,454.81,6,South,Widget A
ORD-000258,CUS-1001,2024-01-01,177.16,25,South,nan
ORD-000259,CUS-1002,2024-01-01,92.19,16,North,Gadget C
ORD-000260,CUS-1001,2024-01-01,1431.35,44,South,Widget A
ORD-000261,CUS-1003,2024-01-01,703.81,4,West,Widget A
ORD-000262,CUS-1001,2024-03-15,1419.73,18,South,Gadget C
ORD-000263,CUS-1001,2024-01-01,1020.73,15,South,Widget A
ORD-000264,nan,01/02/2024,899.3,30,  Central  ,Gadget C
ORD-000265,CUS-1001,2024-01-01,1261.56,15,East,Widget B
ORD-000266,CUS-1001,2024-01-01,374.69,47,South,Gadget C
ORD-000267,CUS-1001,2024-01-01,1959.53,3,North,Widget B
ORD-000268,CUS-1001,not-a-date,667.15,4,  Central  ,Gadget C
ORD-000269,CUS-1001,2024-01-01,1540.68,44,  Central  ,Widget A
ORD-000270,CUS-1001,2024-01-01,503.26,26,East,nan
ORD-000271,CUS-1001,2024-01-01,941.18,42,North,Widget A
ORD-000272,CUS-1001,2024-03-15,1003.63,23,West,Widget A
ORD-000273,CUS-1002,2024-01-01,620.25,46,South,Gadget C
ORD-000274,CUS-1002,2024-06-30,703.76,24,North,Widget A
ORD-000275,CUS-1001,01/02/2024,876.22,37,North,Widget A
ORD-000276,CUS-1001,01/02/2024,1674.02,49,North,Widget B
ORD-000277,CUS-1002,01/02/2024,1005.1,38,North,Gadget C
ORD-000278,CUS-1003,2024-01-01,186.26,13,East,Widget B
ORD-000279,CUS-1003,2024-06-30,441.19,39,West,Widget A
ORD-000280,CUS-1001,2024-06-30,1972.19,19,  Central  ,Widget A
ORD-000281,CUS-1001,2024-01-01,188.85,34,  Central  ,Widget A
ORD-000282,CUS-1001,01/02/2024,1298.98,33,West,Widget B
ORD-000283,CUS-1001,2024-01-01,430.2,9,North,Widget A
ORD-000284,CUS-1002,01/02/2024,869.54,15,South,Gadget C
ORD-000285,CUS-1001,2024-03-15,720.47,9,North,nan
ORD-000286,CUS-1001,2024-06-30,1954.58,4,East,Gadget C
ORD-000287,CUS-1001,2024-01-01,1107.03,25,North,Widget A
ORD-000288,CUS-1002,01/02/2024,507.33,10,East,Widget B
ORD-000289,CUS-1001,2024-03-15,1211.12,34,South,Widget B
ORD-000290,CUS-1003,2024-01-01,152.08,12,East,Widget B
ORD-000291,CUS-1001,01/02/2024,1854.03,2,West,Gadget C
ORD-000292,nan,01/02/2024,695.04,8,South,Gadget C
ORD-000293,CUS-1001,2024-03-15,1767.91,27,  Central  ,Widget A
ORD-000294,CUS-1003,2024-06-30,1620.32,7,North,Widget A
ORD-000295,nan,2024-01-01,381.71,44,North,Widget B
ORD-000296,nan,2024-01-01,1924.98,37,East,Widget A
ORD-000297,CUS-1003,2024-01-01,1983.44,7,South,Widget B
ORD-000298,CUS-1003,2024-01-01,1612.53,43,West,Widget B
ORD-000299,CUS-1002,2024-01-01,-49.09,16,East,Widget B
ORD-000300,CUS-1003,not-a-date,1348.36,44,South,Widget A
ORD-000301,CUS-1001,2024-01-01,170.5,49,East,Widget B
ORD-000302,CUS-1002,01/02/2024,1843.03,13,West,Widget A
ORD-000303,CUS-1002,2024-01-01,451.3,17,North,Widget A
ORD-000304,CUS-1003,2024-01-01,1436.25,8,North,Widget B
ORD-000305,CUS-1002,2024-03-15,1605.05,2,West,Widget A
ORD-000306,CUS-1001,01/02/2024,1939.46,26,West,Gadget C
ORD-000307,CUS-1002,2024-01-01,1649.38,34,West,Widget A
ORD-000308,CUS-1001,2024-06-30,1637.91,28,South,Gadget C
ORD-000309,CUS-1001,2024-01-01,1413.71,49,West,Gadget C
ORD-000310,CUS-1002,2024-01-01,1157.53,6,South,Widget A
ORD-000311,CUS-1001,2024-01-01,93.35,12,East,Widget A
ORD-000312,CUS-1001,01/02/2024,1945.68,44,North,Widget A
ORD-000313,CUS-1001,2024-01-01,903.45,11,South,Gadget C
ORD-000314,CUS-1001,2024-03-15,1595.61,18,  Central  ,Widget A
ORD-000315,CUS-1001,01/02/2024,760.8,22,North,Gadget C
ORD-000316,CUS-1001,2024-01-01,917.56,11,North,Widget B
ORD-000317,CUS-1002,not-a-date,930.08,27,East,Gadget C
ORD-000318,CUS-1001,2024-01-01,1980.12,39,West,Gadget C
ORD-000319,nan,2024-01-01,430.58,40,South,Gadget C
ORD-000320,nan,2024-01-01,1008.51,23,West,Widget A
ORD-000321,CUS-1002,2024-01-01,317.83,49,  Central  ,Widget B
ORD-000322,CUS-1001,2024-01-01,993.3,16,East,Widget B
ORD-000323,CUS-1002,2024-01-01,1096.47,40,South,Widget B
ORD-000324,CUS-1003,01/02/2024,281.93,44,East,Gadget C
ORD-000325,CUS-1002,2024-01-01,1399.53,15,South,Widget B
ORD-000326,CUS-1003,2024-01-01,1657.7,3,North,Widget B
ORD-000327,CUS-1002,01/02/2024,1633.9,39,North,Widget B
ORD-000328,CUS-1002,2024-01-01,1461.15,5,South,Widget B
ORD-000329,CUS-1001,01/02/2024,290.36,31,South,Gadget C
ORD-000330,CUS-1002,01/02/2024,1246.72,25,North,Widget B
ORD-000331,CUS-1001,2024-01-01,1399.73,25,South,Widget A
ORD-000332,CUS-1002,2024-01-01,1521.11,37,West,Widget B
ORD-000333,CUS-1003,2024-01-01,1421.71,32,North,Gadget C
ORD-000334,CUS-1001,2024-01-01,1261.32,30,  Central  ,Widget A
ORD-000335,CUS-1002,01/02/2024,1458.21,22,North,Gadget C
ORD-000336,CUS-1001,2024-03-15,1706.12,35,South,Gadget C
ORD-000337,CUS-1002,01/02/2024,-259.49,31,West,Widget A
ORD-000338,CUS-1001,2024-01-01,299.14,29,North,Gadget C
ORD-000339,nan,2024-06-30,1633.75,37,East,Widget B
ORD-000340,CUS-1001,2024-01-01,1325.42,6,West,Gadget C
ORD-000341,nan,not-a-date,1376.36,1,East,Widget B
ORD-000342,CUS-1003,2024-03-15,595.47,2,North,Widget B
ORD-000343,CUS-1002,2024-01-01,307.82,31,East,Widget A
ORD-000344,CUS-1003,2024-01-01,1563.64,37,North,Widget A
ORD-000345,CUS-1003,2024-01-01,108.35,8,South,Widget A
ORD-000346,nan,2024-06-30,810.67,3,North,Widget B
ORD-000347,CUS-1001,2024-01-01,1022.63,17,West,Widget A
ORD-000348,CUS-1002,not-a-date,44.69,39,West,Gadget C
ORD-000349,CUS-1001,01/02/2024,1198.04,22,North,Widget A
ORD-000350,CUS-1002,2024-01-01,248.06,33,East,Widget B
ORD-000351,CUS-1001,01/02/2024,490.48,48,West,nan
ORD-000352,CUS-1002,2024-01-01,1987.2,26,South,Widget A
ORD-000353,CUS-1002,2024-01-01,1124.94,16,  Central  ,Widget A
ORD-000354,CUS-1002,2024-06-30,1936.86,2,North,Widget A
ORD-000355,CUS-1002,2024-01-01,990.34,41,North,nan
ORD-000356,CUS-1003,2024-06-30,1608.82,37,North,nan
ORD-000357,CUS-1003,2024-06-30,85.6,17,  Central  ,Widget B
ORD-000358,CUS-1002,2024-01-01,589.61,31,East,Widget B
ORD-000359,CUS-1002,01/02/2024,-203.03,12,North,Widget B
ORD-000360,nan,2024-01-01,148.9,33,South,Widget B
ORD-000361,CUS-1001,01/02/2024,1904.68,22,South,Widget B
ORD-000362,CUS-1001,2024-06-30,1014.31,10,West,Widget A
ORD-000363,CUS-1001,not-a-date,1190.01,5,South,Gadget C
ORD-000364,CUS-1002,2024-06-30,1045.72,1,North,Gadget C
ORD-000365,CUS-1001,2024-01-01,504.64,41,North,Gadget C
ORD-000366,CUS-1003,01/02/2024,1849.36,4,East,Widget A
ORD-000367,CUS-1002,2024-01-01,1341.3,25,North,Widget A
ORD-000368,CUS-1001,not-a-date,255.97,7,  Central  ,nan
ORD-000369,nan,2024-01-01,928.96,34,  Central  ,Widget A
ORD-000370,CUS-1003,2024-01-01,12.93,20,East,Widget A
ORD-000371,CUS-1001,2024-01-01,1352.74,40,East,Widget A
ORD-000372,CUS-1001,2024-01-01,1051.93,5,North,Widget A
ORD-000373,CUS-1001,2024-01-01,1809.35,21,North,Widget A
ORD-000374,CUS-1001,2024-01-01,1895.2,20,North,Widget A
ORD-000375,CUS-1001,not-a-date,205.37,23,East,Widget B
ORD-000376,nan,2024-03-15,188.1,15,North,Widget A
ORD-000377,CUS-1002,2024-01-01,1799.19,13,West,Widget A
ORD-000378,CUS-1001,2024-03-15,1029.08,47,West,Gadget C
ORD-000379,CUS-1002,2024-01-01,944.66,36,  Central  ,Widget A
ORD-000380,CUS-1002,2024-03-15,1145.87,23,West,Widget A
ORD-000381,nan,2024-01-01,938.14,41,East,Widget B
ORD-000382,CUS-1003,01/02/2024,1232.39,4,South,Widget B
ORD-000383,CUS-1002,2024-01-01,1898.65,29,  Central  ,Widget B
ORD-000384,CUS-1001,2024-01-01,-110.7,34,North,Widget A
ORD-000385,nan,01/02/2024,648.26,2,North,Gadget C
ORD-000386,CUS-1002,2024-03-15,434.63,35,East,Widget A
ORD-000387,nan,2024-03-15,1932.57,35,  Central  ,Widget A
ORD-000388,CUS-1001,2024-01-01,-25.74,26,North,Widget A
ORD-000389,CUS-1003,01/02/2024,1137.67,33,  Central  ,Widget B
ORD-000390,CUS-1002,2024-03-15,76.33,47,South,Widget B
ORD-000391,CUS-1001,2024-01-01,1837.59,17,East,Gadget C
ORD-000392,CUS-1002,2024-01-01,944.51,11,East,Widget B
ORD-000393,CUS-1002,2024-01-01,-76.47,21,East,Widget A
ORD-000394,CUS-1001,2024-01-01,344.05,47,  Central  ,Gadget C
ORD-000395,CUS-1002,2024-01-01,659.15,25,South,Widget A
ORD-000396,CUS-1003,2024-01-01,428.05,46,West,Gadget C
ORD-000397,CUS-1001,01/02/2024,-254.95,39,East,Widget A
ORD-000398,CUS-1002,01/02/2024,1953.5,6,West,Widget A
ORD-000399,CUS-1002,2024-03-15,835.41,34,West,nan
ORD-000400,CUS-1001,01/02/2024,1655.93,44,South,Gadget C
ORD-000401,nan,2024-01-01,1512.98,26,North,Widget A
